Sno.	Question (100 words)	Answer (Max 2000 words)	Question Category (Refer Sheet 2)	Applicable to Pathways	Pathway Stage	Source of Data (Preferable URL)	Actual Excerpt from the Source Data	Hospitals Applicable	Date	Author Name	Reviewed By	Expiry Date
1670	What should I do if I experience new symptoms during treatment?	It’s important to report any new or ongoing symptoms to your treatment team, however minor they seem. Your treatment team will guide you on what to do if you get new symptoms and who to report them to.	FOLLOW_UP_CARE	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	You may want to ask your treatment team about: What to do if you get new symptoms and who to report them to	All	2025-12-11	Healthcare AI Team		
1671	Can secondary breast cancer in the bone be cured?	Secondary breast cancer in the bone cannot be cured, but it can be treated. Treatment aims to control and slow down the spread of the cancer, relieve symptoms, and give you the best quality of life for as long as possible.	CANCER_TREATMENT	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	When breast cancer spreads to the bone, it can be treated but cannot be cured.	All	2025-12-11	Healthcare AI Team		
1672	What factors affect the prognosis of secondary breast cancer in the bone?	Prognosis may depend on how much cancer there is, which areas of the body are affected, and the features of the breast cancer. Life expectancy is difficult to predict because no two cancers progress or respond to treatment in the same way.	OUTLOOK	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Prognosis may depend on: How much cancer there is Which areas of the body are affected The features of the breast cancer	All	2025-12-11	Healthcare AI Team		
1673	What are the common bones affected by secondary breast cancer?	The bones most commonly affected by secondary breast cancer are the spine, ribs, skull, pelvis, and upper bones of the arms and legs.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	The bones most commonly affected are the: Spine Ribs Skull Pelvis Upper bones of the arms and legs	All	2025-12-11	Healthcare AI Team		
1674	What is the role of osteoclasts and osteoblasts in bone health?	Osteoclasts destroy and clear small amounts of old or damaged bone, while osteoblasts help build up new bone. This process keeps the skeleton healthy and strong throughout our lives.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Bone contains 2 main types of living cells: osteoclasts and osteoblasts. Osteoclasts destroy and clear small amounts of old or damaged bone. Osteoblasts help build up new bone.	All	2025-12-11	Healthcare AI Team		
1675	What happens when breast cancer cells spread to the bone?	When breast cancer cells spread to the bone, the osteoclasts can become overactive, causing more bone to be broken down than is being replaced. This can weaken the bone and lead to symptoms of secondary breast cancer in the bone.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	When breast cancer cells spread to the bone, the osteoclasts can become overactive. This causes more bone to be broken down than is being replaced.	All	2025-12-11	Healthcare AI Team		
1676	What are lytic and sclerotic areas in secondary breast cancer in the bone?	Lytic areas are where the cancer causes breakdown or thinning of the bone, while sclerotic areas are where the cancer increases the production of rigid, thick bone. Often, areas of secondary breast cancer in the bone are both lytic and sclerotic.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Areas of secondary cancer in the bone may be described as: Lytic – the cancer causes breakdown or thinning of the bone Sclerotic – the cancer increases the production of rigid, thick bone	All	2025-12-11	Healthcare AI Team		
1677	What is spinal cord compression and what are its symptoms?	Spinal cord compression can cause back pain, difficulty walking, numbness, loss of bladder or bowel control, and if not treated, can lead to paralysis.	SYMPTOMS	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Spinal cord compression (see page 25) which can cause back pain, difficulty walking, numbness, loss of bladder or bowel control and, if not treated, can lead to paralysis	All	2025-12-11	Healthcare AI Team		
1678	What are the possible effects of secondary breast cancer in the bone marrow?	Secondary breast cancer in the bone marrow can affect how bone marrow works, leading to anaemia, increased risk of infection, and bruising or bleeding. Your treatment team may consult a haematologist for specialized care.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	In some cases, the cancer affects how bone marrow works. This can lead to anaemia, increased risk of infection and bruising or bleeding.	All	2025-12-11	Healthcare AI Team		
1679	What is the purpose of tumour marker tests in secondary breast cancer?	Tumour marker tests are blood tests for proteins that the body may produce in response to cancer. However, their reliability is unclear as they can be raised for different reasons, including other benign health conditions or treatments. They are not used alone to make treatment decisions.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	You may have a blood test for tumour markers. These are proteins found in the blood that the body may produce in response to cancer.	All	2025-12-11	Healthcare AI Team		
1680	When might a bone biopsy be necessary for secondary breast cancer in the bone?	A bone biopsy may be necessary if the cancer affects only one area of bone, it’s been a long time since you finished treatment for primary breast cancer, or you’ve had more than one type of invasive cancer.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	You may need a biopsy if: The cancer affects only 1 area of bone It’s been a long time since you finished treatment for primary breast cancer You’ve had more than 1 type of invasive cancer	All	2025-12-11	Healthcare AI Team		
1681	What are the common side effects of bisphosphonates and denosumab?	Common side effects of bisphosphonates and denosumab include flu-like symptoms such as joint and muscle pain, fatigue, shivering, and fever. They can also cause low levels of calcium in the blood, known as hypocalcaemia, which may result in tingling around the mouth, lips, hands, and feet. Additionally, zoledronic acid can cause kidney problems, and some drugs may lead to osteonecrosis of the jaw (ONJ), characterized by jaw pain, loose teeth, and gum issues.	SIDE_EFFECTS	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Side effects of bisphosphonates and denosumab can cause flu-like symptoms, such as: • Joint and muscle pain • Fatigue • Shivering • Fever Low levels of calcium Bisphosphonates and denosumab can cause calcium levels in the blood to drop too low. This is known as hypocalcaemia. Early symptoms of hypocalcaemia include tingling around the mouth and lips and in the hands and feet. Kidney changes Zoledronic acid can cause kidney problems. Your doctor will check your kidney function before prescribing 	All	2025-12-11	Healthcare AI Team		
1682	How can I manage low calcium levels while on bisphosphonates or denosumab?	To manage low calcium levels, you may be prescribed calcium and vitamin D supplements. Additionally, eating a well-balanced diet that includes foods rich in calcium and vitamin D can help. Before starting denosumab, you will have blood tests to check your calcium and vitamin D levels.	SIDE_EFFECTS	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	You may be prescribed calcium and vitamin D supplements with bisphosphonates and denosumab to prevent your calcium levels dropping too low. Eating a well-balanced diet, including foods that contain calcium and vitamin D, can also help. For more information about a balanced diet, see our Diet and breast cancer booklet. You will have blood tests before you start denosumab to check your levels of calcium and vitamin D.	All	2025-12-11	Healthcare AI Team		
1683	What should I do if I experience symptoms of osteonecrosis of the jaw (ONJ)?	If you experience symptoms of ONJ such as jaw pain, loose teeth, swelling, redness, or ulcers on the gums, inform your treatment team immediately. Good dental hygiene, including regular brushing, flossing, and dental check-ups, can help reduce the risk of ONJ. If you smoke, seek support to quit, as smoking increases the risk of ONJ.	SIDE_EFFECTS	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	If you do not have a dentist or you’re having difficulty registering with one, let your treatment team know. You may be given a dental alert card. You should show this to a dentist if you develop any symptoms of ONJ, including: • Jaw pain • Loose teeth • Swelling, redness or ulcers on the gums Let your treatment team know straight away if you have any of these symptoms. ONJ is hard to treat, so trying to prevent it is very important. Good dental hygiene can help reduce the risk of developing ONJ	All	2025-12-11	Healthcare AI Team		
1684	Can bone-strengthening drugs cause fractures in the femur?	Although rare, bone-strengthening drugs can cause fractures in the femur, the large bone in the upper leg. If you experience pain in your thigh, hip, or groin, inform your treatment team immediately.	SIDE_EFFECTS	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Although rare, bone-strengthening drugs can cause the large bone in the upper leg (femur) to fracture. It’s not fully understood why this happens. If you have pain in your thigh, hip or groin, let your treatment team know.	All	2025-12-11	Healthcare AI Team		
1685	What should I do if I need dental treatment while on bone-strengthening drugs?	If you need dental treatment, especially invasive procedures like extractions, speak to your treatment team. You may need to wait for the area to heal before starting or resuming bone-strengthening drugs. Do not stop taking these drugs unless instructed by your treatment team or dentist. You may need to be referred to a specialist dentist before any invasive dental treatment.	SIDE_EFFECTS	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	If you need any dental treatment, it’s important to speak to your treatment team. If you need an invasive dental treatment, such as an extraction, you may need to wait for the area to fully heal before starting bone-strengthening drugs. This usually takes about 4 to 6 weeks. If you’re taking bone-strengthening drugs and need invasive dental treatment, you may need to stop using the drugs before your dental treatment and until the area is fully healed. Do not stop taking bone-strengthening drugs 	All	2025-12-11	Healthcare AI Team		
1686	How does hormone therapy work for breast cancer?	Hormone therapy works by blocking or stopping the effect of oestrogen on breast cancer cells. This is particularly effective for oestrogen receptor positive (ER-positive) breast cancers. Common hormone therapy drugs include aromatase inhibitors (anastrozole, exemestane, letrozole), fulvestrant (Faslodex), goserelin (Zoladex), leuprorelin (Prostap), and tamoxifen.	CANCER_TREATMENT	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Hormone therapies block or stop the effect of oestrogen on breast cancer cells. Different hormone therapy drugs do this in different ways. The most commonly used hormone therapy drugs are: • Aromatase inhibitors (anastrozole, exemestane and letrozole) • Fulvestrant (Faslodex) • Goserelin (Zoladex) • Leuprorelin (Prostap) • Tamoxifen	All	2025-12-11	Healthcare AI Team		
1687	What are targeted therapies for HER2-positive breast cancer?	Targeted therapies for HER2-positive breast cancer include pertuzumab (Perjeta), trastuzumab, trastuzumab deruxtecan (Enhertu), trastuzumab emtansine (Kadcyla), and tucatinib (Tukysa). These drugs target the HER2 protein on cancer cells to block their growth and spread.	CANCER_TREATMENT	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Targeted therapies for HER2-positive breast cancer include: • Pertuzumab (Perjeta) • Trastuzumab • Trastuzumab deruxtecan (Enhertu) • Trastuzumab emtansine (Kadcyla) • Tucatinib (Tukysa)	All	2025-12-11	Healthcare AI Team		
1688	What is immunotherapy and who can benefit from it?	Immunotherapy, such as atezolizumab and pembrolizumab, is a treatment that helps the immune system recognize and attack cancer cells. It is suitable for some people with triple-negative breast cancer, which is oestrogen receptor negative, progesterone receptor negative, and HER2-negative.	CANCER_TREATMENT	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Atezolizumab and pembrolizumab are targeted therapies suitable for some people with triple negative breast cancer. Triple negative means the cancer is oestrogen receptor negative, progesterone receptor negative and HER2-negative. They are also referred to as an immunotherapy. Immunotherapy for cancer treatment helps the immune system to recognise and attack cancer cells.	All	2025-12-11	Healthcare AI Team		
1689	How does chemotherapy work for secondary breast cancer?	Chemotherapy works by destroying cancer cells by affecting their ability to divide and grow. Various chemotherapy drugs may be used alone or in combination with targeted therapies to treat secondary breast cancer.	CANCER_TREATMENT	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Chemotherapy destroys cancer cells by affecting their ability to divide and grow. A number of chemotherapy drugs are used to treat secondary breast cancer. These drugs may be given alone or in combination with targeted therapies.	All	2025-12-11	Healthcare AI Team		
1690	What is the role of radiotherapy in treating secondary breast cancer in the bone?	Radiotherapy uses high-energy x-rays to destroy cancer cells. It is commonly used to treat secondary breast cancer in the bone to reduce pain and prevent further growth of cancer. External beam radiotherapy, including stereotactic radiotherapy and high-dose conformal radiotherapy, can precisely target cancer cells while minimizing damage to healthy tissue.	CANCER_TREATMENT	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Radiotherapy uses high energy x-rays to destroy cancer cells. External beam radiotherapy is commonly used to treat secondary breast cancer in the bone. It aims to reduce pain and prevent further growth of cancer in the area affected. It can also be used after surgery to stabilise a weakened bone.	All	2025-12-11	Healthcare AI Team		
1691	When might surgery be considered for secondary breast cancer in the bone?	Surgery may be considered for secondary breast cancer in the bone if the area of cancer is small, easily accessible, and there is no other secondary breast cancer elsewhere in the body. It may also be used to treat fractures or stabilize weakened bones, particularly in cases of spinal cord compression.	SURGERY_PROCEDURES	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Although surgery will not cure secondary breast cancer in the bone, occasionally it may be part of a treatment plan. You’re more likely to have surgery if the area of cancer in the bone is very small, can be easily accessed by the surgeon, and there’s no other secondary breast cancer elsewhere in the body. When breast cancer spreads to the bones it can make them weak and more likely to break (fracture). Orthopaedic surgery involves the muscles and bones. It may be considered either to treat a fr	All	2025-12-11	Healthcare AI Team		
1692	What are vertebroplasty and kyphoplasty?	Vertebroplasty and kyphoplasty are procedures used to stabilize and strengthen the bones in the spine affected by cancer. Vertebroplasty involves injecting bone cement into the bones, while kyphoplasty uses a high-pressure balloon to create space for the cement. These procedures can relieve pain and may restore vertebral height.	SURGERY_PROCEDURES	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	If cancer is causing severe back pain and damage to the bones in the spine, you may be able to have an injection of bone cement into the bones. This will stabilise and strengthen the bones and may also relieve pain. This is called a vertebroplasty. It’s done in the x-ray department. It takes about an hour, and you can usually go home later that day. A kyphoplasty is a similar procedure. It uses a high-pressure balloon inside the vertebrae to make a space to put the cement into. It can also be us	All	2025-12-11	Healthcare AI Team		
1693	What is the importance of best supportive and palliative care in secondary breast cancer?	Best supportive and palliative care focuses on symptom control and support, significantly improving the quality of life for people with secondary breast cancer and their families. It can be provided alongside medical treatment or if treatment for cancer has stopped, to help prevent and relieve symptoms such as pain or fatigue.	FOLLOW_UP_CARE	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Best supportive care focuses on symptom control and support. It includes palliative care, if necessary. It’s an extremely important part of the care and treatment for many people with secondary breast cancer. It can significantly improve quality of life for them and their families. You may associate palliative care with end-of-life treatment. But many people value having it at any stage of their diagnosis. You may have it alongside your medical treatment. Or if you’re no longer on treatment for 	All	2025-12-11	Healthcare AI Team		
1694	How can I manage pain caused by secondary breast cancer in the bone?	Pain relief is crucial for managing secondary breast cancer in the bone. Your specialist nurse, treatment team, GP, or palliative care nurse should regularly assess your pain to ensure it stays under control. Be specific about the location and nature of the pain, and consider keeping a pain diary to help your healthcare team decide the best pain management strategy.	SYMPTOMS	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Pain relief is a very important part of the care of many people with secondary breast cancer. Pain can affect your mobility and quality of life. Once pain is under control, you may feel less anxious and can eat and sleep better. Be as specific as possible when telling your doctor or nurse where the pain is and what it feels like. This will help them decide how to control your pain. You may find it helpful to record this in a pain diary.	All	2025-12-11	Healthcare AI Team		
1695	What should I do if a treatment for secondary breast cancer is not routinely available on the NHS?	If a treatment is not routinely available on the NHS, you may still be able to access it through clinical trials, early or compassionate access schemes, or privately. Speak to your treatment team or call Macmillan Cancer Support’s helpline on 0808 808 0000 for more information and advice.	ADMIN_LOGISTICS	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Some treatments for secondary breast cancer may not be routinely available on the NHS. You may still be able to access these treatments in other ways, such as a clinical trial, early or compassionate access schemes, or privately. Macmillan Cancer Support has information about what you can do if a treatment is not available. Visit macmillan.org.uk or call 0808 808 0000 to find out more.	All	2025-12-11	Healthcare AI Team		
1696	What are the symptoms of secondary breast cancer in the bone?	Secondary breast cancer in the bone can cause pain in or near the affected area, which may range from mild to severe and can feel like a gnawing, dull ache, burning, or stabbing pain. The pain may be ongoing and worsen at certain times, such as at night, or with certain movements.	SYMPTOMS	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Secondary breast cancer in the bone can cause pain in or near the affected area, though not all areas of cancer will cause pain. Pain may come and go and can range from mild to severe. It may feel like a gnawing pain but also it might be a dull ache or a burning or stabbing pain. The pain may be ongoing and may be worse at certain times, such as at night. Certain movements may also affect it.	All	2025-12-11	Healthcare AI Team		
1697	How can clinical trials help in the treatment of secondary breast cancer?	Clinical trials offer new treatments or different ways of giving existing treatments, such as surgical techniques, chemotherapy, targeted therapies, or radiotherapy. These trials may improve symptoms or help patients live longer. Your treatment team may discuss eligible trials with you, or you can inquire about them directly.	CANCER_TREATMENT	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Clinical trials and research studies are commonly offered as part of treatment for secondary breast cancer. Many breast cancer trials look at new treatments or different ways of giving existing treatments, such as surgical techniques, chemotherapy, targeted therapies or radiotherapy. These treatments may improve symptoms or help you live longer.	All	2025-12-11	Healthcare AI Team		
1698	What is the role of a specialist nurse in managing secondary breast cancer?	A specialist nurse plays a crucial role in assessing and managing symptoms, providing support, and coordinating care for patients with secondary breast cancer. They work closely with the treatment team to ensure comprehensive care and support.	FOLLOW_UP_CARE	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	It’s very important your specialist nurse, treatment team, GP or palliative care nurse regularly assesses your pain to make sure it stays under control.	All	2025-12-11	Healthcare AI Team		
1699	What should I do if I experience ear pain while taking bone-strengthening drugs?	If you experience ear pain, discharge from your ear, or an ear infection while taking bone-strengthening drugs, inform your treatment team immediately. In rare cases, osteonecrosis can affect the ear.	SIDE_EFFECTS	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	In rare cases, osteonecrosis can affect the ear. If you have any ear pain, discharge from your ear, or an ear infection while taking bone-strengthening drugs, let your treatment team know.	All	2025-12-11	Healthcare AI Team		
1700	How can I find information about clinical trials for secondary breast cancer?	You can find information about clinical trials for secondary breast cancer on the Cancer Research UK website (cancerresearch.org), the National Institute for Health Research (NIHR) website (bepartofresearch.nihr.ac.uk), and the Make 2nds Count website (make2ndscount.co.uk). METUPUK, a patient advocacy group, also provides information about trials on its website (metupuk.org.uk).	ADMIN_LOGISTICS	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	For more information on clinical trials, see our Secondary breast cancer information pack. You can find listings of trials on the Cancer Research UK website cancerresearch.org and on the National Institute for Health Research (NIHR) website bepartofresearch.nihr.ac.uk Make 2nds Count is a charity that supports research into secondary breast cancer. You can find more information about clinical trials on its website make2ndscount.co.uk METUPUK, a patient advocacy group working to improve outcomes 	All	2025-12-11	Healthcare AI Team		
1701	What should I do if I experience severe back pain?	If you experience severe or unexplained back pain, especially if it changes with your position or activity, seek immediate medical attention. This could be a sign of spinal cord compression, a serious condition that requires urgent treatment.	SYMPTOMS	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Go to your local A&E department straight away if you have any of these symptoms: • Severe or unexplained back pain which you may feel around the front of the chest and belly	All	2025-12-11	Healthcare AI Team		
1702	What are the symptoms of hypercalcaemia I should watch for?	Symptoms of hypercalcaemia include fatigue, nausea, vomiting, loss of appetite, constipation, loss of concentration, drowsiness, excessive thirst, frequent urination, weakness, and confusion. If you experience these, contact your treatment team immediately.	SYMPTOMS	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Hypercalcaemia can be serious if it’s not diagnosed quickly. It’s important to know who to report the following symptoms to if they occur, so check this with your treatment team	All	2025-12-11	Healthcare AI Team		
1703	How can I manage cancer-related fatigue?	Cancer-related fatigue can be managed by pacing yourself, prioritizing activities, getting enough rest, and engaging in gentle exercise as advised by your treatment team. Psychological support and counseling can also help.	SYMPTOMS	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Fatigue has many causes, from psychological factors such as the stress of coping with the diagnosis, to physical ones such as the side effects of treatment or growth and spread of the cancer.	All	2025-12-11	Healthcare AI Team		
1704	What are the signs of a blood clot I should be aware of?	Signs of a blood clot include pain, redness, or swelling in your arm or leg, heat around the affected area, shortness of breath, chest pain or tightness, and an unexplained cough. Seek immediate medical help if you experience these symptoms.	SYMPTOMS	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Go to your local A&E department straight away if you have any of the following symptoms: • Pain in your arm or leg• Redness/discolouration of the skin of the arm or leg• Heat and swelling of the arm or leg	All	2025-12-11	Healthcare AI Team		
1705	What type of exercises are recommended for someone with secondary breast cancer in the bone?	Recommended exercises include regular weight-bearing activities like walking or stair climbing, resistance exercises, and balance exercises. Avoid high-impact activities unless cleared by your treatment team.	LIFESTYLE	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Research shows regular weight-bearing exercise, such as walking or stair climbing, is the best choice for strengthening bones and muscles.	All	2025-12-11	Healthcare AI Team		
1706	How can I get emotional support if I'm feeling overwhelmed?	You can seek emotional support from your specialist nurse, palliative care nurse, or a counselor. Breast Cancer Now also offers support services and helplines you can contact.	EMOTIONAL_SUPPORT	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	You can talk to your specialist nurse, palliative care nurse, hospice or home care specialist nurse. They will have a good understanding of the specific needs of people with secondary cancers and will be familiar with different ways of coping and adapting to the diagnosis.	All	2025-12-11	Healthcare AI Team		
1707	What should I do if my pain relief isn't working?	If your pain relief isn’t working, contact your GP or treatment team for a reassessment. You may need a change in medication or additional pain relief for breakthrough pain.	MEDICATION	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	If your pain relief does not seem to be controlling your pain, ask your GP or treatment team to reassess you.	All	2025-12-11	Healthcare AI Team		
1708	What treatments are available for spinal cord compression?	Spinal cord compression is typically treated with radiotherapy, steroids, and sometimes surgery. A combination of these treatments may be used depending on your specific situation.	CANCER_TREATMENT	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Spinal cord compression is usually treated with radiotherapy and steroids. It can also be treated with surgery. Or you may have a combination of all 3 treatments.	All	2025-12-11	Healthcare AI Team		
1709	What is a pathological fracture?	A pathological fracture is a break in the bone caused by disease, such as secondary breast cancer in the bone, rather than by an accident or injury.	SYMPTOMS	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Secondary breast cancer in the bone may mean the affected bones are weakened, which can increase the risk of a break (fracture). This is called a pathological fracture	All	2025-12-11	Healthcare AI Team		
1710	What is prophylactic bone pinning?	Prophylactic bone pinning is a procedure where bones are pinned to reduce the risk of them breaking due to weakened bone structure from secondary breast cancer.	SURGERY_PROCEDURES	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	You may also have bones pinned to reduce the risk of them breaking. This is called prophylactic bone pinning.	All	2025-12-11	Healthcare AI Team		
1711	What should I do if I suspect spinal cord compression?	If you suspect spinal cord compression, go to your local A&E department immediately. Carry an alert card provided in the booklet to show healthcare professionals.	SAFETY_RED_FLAGS	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Go to your local A&E department straight away if you have any of these symptoms: • Severe or unexplained back pain which you may feel around the front of the chest and belly	All	2025-12-11	Healthcare AI Team		
1712	How is hypercalcaemia treated?	Hypercalcaemia is treated by drinking plenty of water, receiving intravenous fluids to flush out calcium, and taking bone-strengthening drugs as prescribed by your treatment team.	MEDICATION	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	You might be told to drink plenty of water to help your symptoms. However, you may need to be given fluids into a vein (intravenously) to help flush the calcium out of your body.	All	2025-12-11	Healthcare AI Team		
1713	What should I avoid if my cancer has spread to my spine?	If your cancer has spread to your spine, avoid activities that involve twisting the spine or large forward bends to reduce the risk of spinal cord compression.	LIFESTYLE	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	If your cancer has spread to the spine, you’re at risk of spinal cord compression (see page 25). Because of this, avoid activities that involve twisting the spine or large forward bends of the spine.	All	2025-12-11	Healthcare AI Team		
1714	Can eating calcium-rich foods cause hypercalcaemia?	Eating foods that contain calcium or taking prescribed calcium supplements does not usually cause hypercalcaemia.	NUTRITION	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Eating foods that contain calcium or taking prescribed calcium supplements does not usually cause hypercalcaemia.	All	2025-12-11	Healthcare AI Team		
1715	What is an alert card and how can it help me?	An alert card is a document you can carry with you to inform healthcare professionals about your risk of spinal cord compression due to secondary breast cancer in the bone. It ensures you receive timely and appropriate care.	ADMIN_LOGISTICS	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Spinal cord compression alert card Having secondary breast cancer in the bone means you’re at risk of spinal cord compression. You may want to keep this card with you.	All	2025-12-11	Healthcare AI Team		
1716	What are the benefits of gentle exercise during treatment?	Gentle exercise during treatment can help you tolerate treatments better, reduce pain and sickness, improve sleep, decrease fatigue, and enhance your mood.	LIFESTYLE	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Research has shown that people who exercise, even gently, during and between treatments may tolerate them better. Other benefits include less pain, less sickness, improved sleep and fatigue.	All	2025-12-11	Healthcare AI Team		
1717	How can I find local support for secondary breast cancer?	You can find local support by contacting your local cancer information centre, speaking to your specialist nurse or treatment team, or visiting Breast Cancer Now’s website for resources and support groups.	EMOTIONAL_SUPPORT	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	You may be able to find other support in your area by contacting your local cancer information centre. Speak to your specialist nurse or treatment team to find out what local support is available to you.	All	2025-12-11	Healthcare AI Team		
1718	What should I do if I experience numbness or pins and needles?	If you experience numbness or pins and needles in your fingers, toes, or bottom, seek immediate medical attention as it could be a sign of spinal cord compression.	SYMPTOMS	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	Go to your local A&E department straight away if you have any of these symptoms: • Numbness or pins and needles in the fingers, toes or bottom	All	2025-12-11	Healthcare AI Team		
1719	What is the role of a physiotherapist in my treatment plan?	A physiotherapist can help design an exercise plan tailored to your condition, ensuring you engage in safe and effective physical activities to strengthen bones and muscles and improve overall wellbeing.	PRE_SURGERY_PREHAB	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	You can ask your GP or treatment team about the best type of exercise for your situation. They may refer you to a physiotherapist.	All	2025-12-11	Healthcare AI Team		
1720	How can I manage breakthrough pain?	You may be given extra pain relief to take in between your scheduled doses if you have any additional pain, often called breakthrough pain. Discuss this with your treatment team.	MEDICATION	Breast Cancer	All Stages	bcc30-secondary-breast-cancer-in-the-bone-web.pdf	You may also be given extra pain relief to take in between your scheduled doses if you have any additional pain (often called breakthrough pain).	All	2025-12-11	Healthcare AI Team		
1721	What is anastrozole and what is it used for?	Anastrozole is a hormone therapy drug used to treat breast cancer in women who have gone through menopause and whose breast cancer is oestrogen receptor positive (ER+). It can also be used in premenopausal women having ovarian suppression. It works by reducing the amount of oestrogen made in the body, which helps to slow or stop the growth of ER+ breast cancer cells.	MEDICATION	Breast Cancer	All Stages	bcc31-anastrozole-2022-web-pdf.pdf	Anastrozole is a hormone therapy drug used to treat breast cancer in women who have gone through a natural menopause (when periods stop). It can also be used in premenopausal women having ovarian suppression (treatment to stop the ovaries working).	All	2025-12-11	Healthcare AI Team		
1722	How does anastrozole work in the body?	Anastrozole works by inhibiting the aromatase enzyme, which is responsible for converting androgens into oestrogen. By reducing the amount of oestrogen in the body, anastrozole helps to slow or stop the growth of oestrogen receptor positive (ER+) breast cancer cells.	MEDICATION	Breast Cancer	All Stages	bcc31-anastrozole-2022-web-pdf.pdf	Anastrozole works by reducing the amount of oestrogen made in the body. Some breast cancers use oestrogen in the body to help them to grow. These are known as oestrogen receptor positive or ER+ breast cancers.	All	2025-12-11	Healthcare AI Team		
